Country Name,Country Code,Selected,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],
India,IND,TRUE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,41.04,..,..,..,..,
India,IND,TRUE,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,89.5348815917969,92.4568328857422,95.1932983398438,97.8152847290039,..,
India,IND,TRUE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,85.1752673357353,89.1008289701358,92.8253521089913,96.6659820678055,..,
India,IND,TRUE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,98.3137588500977,99.0889358520508,99.7837600708008,100,..,
India,IND,,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,79.8753280639648,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,..,76.6396331787109,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..,..,83.0089950561523,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..,..,83.0843124389648,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..,..,..,..,..,..,77.0829467773438,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..,..,..,..,..,..,75.3695449829102,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..,..,..,..,..,..,81.7354278564453,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..,..,..,..,..,..,84.9415817260742,..,..,..,
India,IND,,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..,..,..,..,..,..,71.4001541137695,..,..,..,
India,IND,,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,
India,IND,,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,
India,IND,,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,
India,IND,TRUE,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,
India,IND,,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,
India,IND,,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..,
India,IND,,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..,
India,IND,,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,7.52192542399146,8.40453726261376,6.50085691586885,3.30753319157023,..,
India,IND,,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..,..,1979885290457.59,2146285487451.1,2285812435996.36,2361416441013.98,..,
India,IND,TRUE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..,..,1994450914992.03,2322046549463.25,2370757635839.1,2489559752922.94,..,
India,IND,,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,6.35581211697168,7.25791455787981,5.401277106813,2.26604340711145,..,
India,IND,,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,1494.79766341857,1603.28880064267,1689.88687158788,1728.18044162914,..,
India,IND,,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,1505.79459421312,1734.58342289155,1752.68632781539,1821.96092080272,..,
India,IND,,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,19.3010727572026,19.8861632718911,19.092676507557,16.1683355736439,..,
India,IND,,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,..,..,..,..,..,434274137037.058,521017477723.547,511683730402.529,459180730291.487,..,
India,IND,,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,..,..,..,..,..,18.110741330609,18.7646651313987,17.9711783670647,15.073401507839,..,
India,IND,,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,..,..,..,..,..,407491679938.703,491634226442.646,481627580237.333,428084602822.628,..,
India,IND,TRUE,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,..,..,..,..,..,3.84341235355422,3.65362869235512,3.94096662076772,4.00883882505117,..,
India,IND,,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,..,..,..,..,..,86476777954.97,95725071739.704,105617905436.575,113851022631.453,..,
India,IND,,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,..,..,..,..,..,10.5608707088592,10.5527434922492,10.5483556626846,11.3561643368485,..,
India,IND,,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,..,..,..,..,..,237619590949.331,276481879496.929,282695931759.948,322515067166.498,..,
India,IND,TRUE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..,..,..,..,3.08,3.08,3.08,3.08,..,
India,IND,,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,..,..,..,..,..,69300000000,80696000000,82544000000,87472000000,..,
India,IND,TRUE,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,..,..,..,..,..,0.344252564427978,0.435301871558141,0.576782006577425,0.43393867772331,..,
India,IND,,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,..,..,..,..,..,7745682699.62951,11404909034.8233,15457757776.275,12323858447.342,..,
India,IND,,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,..,..,..,..,..,31.5,31.8,31.4,29.5,..,
India,IND,TRUE,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,..,..,..,..,..,0.193708529507928,0.20800104178253,0.285703478837364,0.421030039328759,..,
India,IND,,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,..,..,..,..,..,4358441913.92838,5449627294.70228,7656853232.84136,11957253116.9367,..,
India,IND,TRUE,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..,..,..,..,..,0.796866402606263,0.819525612206879,0.99053852242344,0.983280982766254,..,
India,IND,TRUE,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..,..,..,..,..,0.258905308670357,0.176222698866208,0.128053037008651,0.128312265714185,..,
India,IND,,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,..,..,..,..,..,5825369445.08303,4617034710.29465,3431821391.83183,3644068346.28285,..,
India,IND,,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..,..,..,..,..,20.8613515133631,21.2793175764531,20.9441816507482,18.0804553814613,..,
India,IND,,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,..,..,..,..,..,469380409050.669,557518120503.071,561304068240.052,513484932833.502,..,
India,IND,TRUE,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,..,..,..,..,..,1.19033142659356,1.12149814049238,1.12149814049238,1.09493406580487,..,
India,IND,,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,..,..,..,..,..,26782457098.3552,29383251280.9004,30056150165.1958,31096127468.8584,..,
India,IND,,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,103.921,104.093,104.265,104.7644,105.2638,16.152,13.177,12.0708,10.9646,..,
India,IND,,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,15.1268396377563,
India,IND,,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,..,..,..,..,..,..,..,..,13.4154596328735,
India,IND,,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,..,..,..,..,..,..,..,..,16.668830871582,
India,IND,,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,..,..,..,..,..,..,..,..,..,..,
India,IND,,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,..,..,..,..,..,..,..,..,..,..,
India,IND,,Age dependency ratio (% of working-age population),SP.POP.DPND,76.9990446166511,78.0071064405409,79.1875305726612,80.3047250510323,80.9989516979179,50.8881370260245,50.2896371909076,49.7751668865187,49.2452418099917,48.6646203053887,
India,IND,,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.39346077102455,5.51858466722465,5.64495556786929,5.75293559878801,5.81803156964743,8.74141020658705,8.9919993377127,9.25603886697997,9.5187483146847,9.77304664014027,
India,IND,,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,71.6055838456265,72.4885217733162,73.5425750047919,74.5517894522443,75.1809201282704,42.1467268194374,41.2976378531949,40.5191280195387,39.726493495307,38.8915736652485,
India,IND,TRUE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,..,..,..,..,..,..,..,..,..,..,
India,IND,TRUE,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,58.8431953558299,59.357794153754,59.2474749343298,59.4351521429845,60.4313885086389,60.4313885086389,60.4313885086389,..,..,
India,IND,,Agricultural land (sq. km),AG.LND.AGRI.K2,..,1749520,1764820,1761540,1767120,1796740,1796740,1796740,..,..,
India,IND,,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,..,31016,35000,40000,44000,..,..,..,..,..,
